Frame,Location X,Location Y,Location Z,Rotation X,Rotation Y,Rotation Z
1,9.509854316711426,5.636266231536865,2.431879997253418,1.4071574211120605,1.18658078918088e-08,2.1058132648468018
2,9.510281562805176,5.623460292816162,2.427652359008789,1.407440423965454,9.741772544202831e-08,2.1047966480255127
3,9.511524200439453,5.5859150886535645,2.41536808013916,1.4082629680633545,3.8676226665756985e-08,2.101809501647949
4,9.513519287109375,5.5249409675598145,2.395623207092285,1.409589409828186,-3.347554056176705e-08,2.096938371658325
5,9.516209602355957,5.44184684753418,2.3690149784088135,1.4113889932632446,-1.378978353727689e-08,2.0902602672576904
6,9.519533157348633,5.3379435539245605,2.3361401557922363,1.4136322736740112,-1.5689431975829393e-08,2.0818448066711426
7,9.523428916931152,5.214540958404541,2.297595500946045,1.4162933826446533,5.091025556680506e-08,2.0717556476593018
8,9.527838706970215,5.072948932647705,2.2539777755737305,1.4193470478057861,5.461036778342532e-08,2.060053586959839
9,9.532700538635254,4.9144768714904785,2.2058842182159424,1.4227681159973145,-6.4141607580836535e-09,2.046797513961792
10,9.537954330444336,4.740434169769287,2.1539111137390137,1.4265313148498535,3.612743171288457e-08,2.0320470333099365
11,9.543540954589844,4.552132606506348,2.0986554622650146,1.4306097030639648,-7.703895299471242e-09,2.0158636569976807
12,9.549398422241211,4.350880146026611,2.0407142639160156,1.4349746704101562,8.821196217922989e-09,1.9983125925064087
13,9.555466651916504,4.137986660003662,1.9806841611862183,1.4395945072174072,-9.659072475187713e-08,1.9794648885726929
14,9.561686515808105,3.9147636890411377,1.9191620349884033,1.4444342851638794,3.547390647895554e-08,1.9593985080718994
15,9.56799602508545,3.6825201511383057,1.8567445278167725,1.4494552612304688,9.138179990486606e-09,1.938199758529663
16,9.574336051940918,3.442565441131592,1.7940285205841064,1.4546139240264893,4.357433169843716e-08,1.9159640073776245
17,9.580645561218262,3.1962099075317383,1.7316112518310547,1.4598623514175415,-2.178293101451345e-09,1.8927968740463257
18,9.586865425109863,2.9447641372680664,1.6700890064239502,1.4651482105255127,6.651173123373155e-08,1.8688149452209473
19,9.592934608459473,2.6895365715026855,1.6100590229034424,1.4704136848449707,1.1211733763616394e-08,1.8441448211669922
20,9.598791122436523,2.431838035583496,1.5521175861358643,1.4755971431732178,3.0448642718283736e-08,1.818923830986023
21,9.604376792907715,2.1729774475097656,1.4968619346618652,1.4806321859359741,-3.8459907480969946e-10,1.7932989597320557
22,9.609631538391113,1.914266586303711,1.4448890686035156,1.4854497909545898,-6.006333563846056e-08,1.767425298690796
23,9.614492416381836,1.6570136547088623,1.3967952728271484,1.4899780750274658,9.762586472561452e-08,1.7414650917053223
24,9.618903160095215,1.4025287628173828,1.353177785873413,1.4941421747207642,-5.816955805926227e-08,1.7155855894088745
25,9.622798919677734,1.1521220207214355,1.3146330118179321,1.4978680610656738,-5.0084434377595244e-08,1.6899574995040894
26,9.62612247467041,0.9071040153503418,1.2817583084106445,1.501079797744751,3.353332189703906e-08,1.66475248336792
27,9.628812789916992,0.6687827110290527,1.2551500797271729,1.5037028789520264,6.848611633358814e-08,1.6401413679122925
28,9.630807876586914,0.43846988677978516,1.2354052066802979,1.5056641101837158,-1.4880637166925226e-08,1.6162927150726318
29,9.632050514221191,0.21747493743896484,1.2231206893920898,1.5068916082382202,-1.7943317942581416e-08,1.593370795249939
30,9.632477760314941,0.007107257843017578,1.21889328956604,1.5073152780532837,-6.614073555510913e-08,1.571534276008606
